Food,Serving,Calories,Food_VN
Artichoke,1 artichoke (128 g),60 cal,Atisô
Arugula,1 leaf (2 g),1 cal,rau arugula
Asparagus,1 spear (12 g),2 cal,Măng tây
Aubergine,1 aubergine (458 g),115 cal,cà tím
Beetroot,1 beet (82 g),35 cal,củ cải đường
Bell Pepper,1 pepper (73 g),15 cal,ớt chuông
Black Olives,1 olive (2.7 g),2 cal,Ô liu đen
Broccoli,1 bunch (608 g),207 cal,bông cải xanh
Brussels Sprouts,1 sprout (19 g),8 cal,Cải Brussels
Cabbage,1 head (908 g),227 cal,Bắp cải
Capsicum,1 pepper (45 g),12 cal,Ớt
Carrot,1 carrot (61 g),25 cal,cà rốt
Cauliflower,1 floweret (13 g),3 cal,Súp lơ
Celery,1 stalk (40 g),6 cal,cần tây
Chard,1 leaf (48 g),9 cal,củ cải
Cherry Tomato,1 cherry tomato (20 g),20 cal,cà chua bi
Chicory,1 head (53 g),38 cal,rau diếp xoăn
Chinese Cabbage,1 head (840 g),134 cal,Bắp cải Trung Quốc
Chives,"1 tbsp, chopped (3 g)",1 cal,hẹ
Collard Greens,"1 cup, raw (36 g)",12 cal,cải xanh
Corn,1 cup (154 g),562 cal,ngô
Courgette,1 courgette (196 g),33 cal,Bí xanh
Creamed Spinach,1 cup (200 g),148 cal,rau bina kem
Cucumber,1 cucumber (410 g),66 cal,Quả dưa chuột
Eggplant,1 eggplant (458 g),115 cal,cà tím
Endive,1 head (513 g),87 cal,tồn tại lâu dài
Fennel,1 bulb (234 g),73 cal,thì là
Garlic,1 clove (3 g),4 cal,Tỏi
Gherkin,1 gherkin (65 g),9 cal,dưa chuột
Gourd,1 gourd (771 g),108 cal,bầu
Green Beans,1 cup (110 g),34 cal,Đậu xanh
Green Olives,1 olive (2.7 g),2 cal,Ô liu xanh
Green Onion,1 green onion (15 g),5 cal,hành lá
Horseradish,1 tbsp (15 g),7 cal,cải ngựa
Kale,"1 cup, chopped (67 g)",33 cal,cải xoăn
Kohlrabi,1 kohlrabi (400 g),108 cal,Su hào
Kumara,1 kumara (130 g),112 cal,Kumara
Leek,1 leek (89 g),54 cal,tỏi tây
Lettuce,1 head (600 g),90 cal,Rau xà lách
Mushrooms,1 mushroom (5.4 g),1 cal,nấm
Mustard Greens,"1 cup, chopped (56 g)",15 cal,mù tạt xanh
Nori,1 sheet (2.6 g),1 cal,Nori
Okra,1 pod (12 g),4 cal,đậu bắp
Olives,1 olive (2.7 g),2 cal,ô liu
Onion,1 onion (85 g),34 cal,Củ hành
Parsnips,1 parsnip (170 g),128 cal,củ cải vàng
Peas,1 cup (98 g),79 cal,Đậu Hà Lan
Pepper,1 pepper (75 g),20 cal,Hạt tiêu
Potato,1 potato (213 g),164 cal,Khoai tây
Pumpkin,1 pumpkin (196 g),51 cal,bí ngô
Radishes,1 radish (4.5 g),1 cal,củ cải
Red Cabbage,1 leaf (22 g),7 cal,Bắp cải đỏ
Rutabaga,1 rutabaga (386 g),147 cal,rutabaga
Shallots,1 shallot (25 g),18 cal,hẹ tây
Spinach,1 bunch (340 g),78 cal,Rau chân vịt
Squash,1 squash (196 g),88 cal,bí
Sweet Potato,1 potato (130 g),112 cal,khoai lang
Tomato,1 tomato (111 g),20 cal,Cà chua
Turnip Greens,1 turnip green (170 g),34 cal,củ cải xanh
Turnips,1 turnip (122 g),34 cal,củ cải
Wasabi,1 root (169 g),184 cal,mù tạt
Winter Squash,1 squash (431 g),147 cal,Bí mùa đông
Zucchini,1 zucchini (196 g),33 cal,bí xanh
Acai,1 oz. (28.35 g),20 cal,Acai
Apple,1 apple (182 g),95 cal,Quả táo
Applesauce,1 cup (246 g),167 cal,nước sốt táo
Apricot,1 apricot (35 g),17 cal,Quả mơ
Avocado,1 avocado (200 g),320 cal,quả bơ
Banana,1 banana (125 g),111 cal,Chuối
Blackberries,1 cup (144 g),62 cal,Quả mâm xôi
Blood Oranges,1 serving (140 g),70 cal,Cam máu
Blueberries,1 cup (148 g),84 cal,Quả việt quất
Cantaloupe,1 wedge (69 g),23 cal,dưa đỏ
Cherries,1 cherry (8 g),4 cal,Anh đào
Clementine,1 clementine (74 g),35 cal,quýt
Cranberries,1 cup (100 g),46 cal,quả nam việt quất
Currants,1 cup (112 g),63 cal,nho
Custard Apple,1 custard apple (135 g),136 cal,mãng cầu
Dates,1 date (7.1 g),20 cal,Ngày
Figs,1 fig (50 g),37 cal,quả sung
Fruit salad,1 cup (249 g),125 cal,Salad trái cây
Grapes,1 cup (151 g),104 cal,Quả nho
Greengage,1 fruit (5 g),2 cal,Greengage
Guava,1 guava (55 g),37 cal,Ổi
Jackfruit,1 cup (151 g),143 cal,Mít
Jujube,1 oz. (28.35 g),22 cal,táo tàu
Kiwi,1 liwi (183 g),112 cal,Kiwi
Lemon,1 lemon (58 g),17 cal,Chanh vàng
Lime,1 lime (67 g),20 cal,Chanh xanh
Lychees,1 lychee (10 g),7 cal,Vải thiều
Mandarin Oranges,1 mandarin orange (88 g),47 cal,Quả quýt
Mango,1 mango (336 g),202 cal,Quả xoài
Minneola,1 minneola (109 g),70 cal,Minneola
Mulberries,1 cup (140 g),60 cal,dâu tằm
Nectarine,1 nectarine (150 g),66 cal,quả xuân đào
Olives,1 olive (2.7 g),2 cal,ô liu
Orange,1 orange (131 g),62 cal,Quả cam
Papaya,1 fruit (500 g),215 cal,Đu đủ
Passion Fruit,1 passoin fruit (18 g),17 cal,chanh dây
Peach,1 peach (150 g),59 cal,Quả đào
Pear,1 pear (178 g),101 cal,Quả lê
Persimmon,1 fruit (25 g),32 cal,Quả hồng
Physalis,1 berry (5 g),2 cal,Physalis
Pineapple,1 pineapple (905 g),453 cal,Quả dứa
Plantains,1 plantain (179 g),218 cal,chuối
Plum,1 plum (66 g),30 cal,mận
Pomegranate,1 pomegranate (282 g),234 cal,Lựu
Quince,1 quince (92 g),52 cal,mộc qua
Raisins,1 cup (145 g),434 cal,nho khô
Rambutan,1 rambutan (9 g),7 cal,chôm chôm
Raspberries,1 cup (123 g),64 cal,quả mâm xôi
Rhubarb,1 stalk (51 g),11 cal,đại hoàng
Starfruit,1 star fruit (91 g),28 cal,Khế
Strawberries,1 cup (152 g),49 cal,dâu tây
Tamarind,1 tamarind (2 g),5 cal,me
Tangerine,1 tangerine (88 g),47 cal,quýt
Watermelon,1 wedge (286 g),86 cal,dưa hấu
Baby Back Ribs,1 serving (139 g),360 cal,Sườn lưng bé
Bacon and Eggs,1 serving (214 g),539 cal,Thịt xông khói và trứng
Baked Beans,1 cup (260 g),244 cal,Đậu nướng
BBQ Ribs,1 rib (141 g),360 cal,Sườn BBQ
Beef Stew,1 cup (196 g),186 cal,thịt bò hầm
Biryani,1 cup (275 g),484 cal,Biryani
Black Pudding,1 pudding (40 g),101 cal,Bánh Pudding đen
Black Rice,1/2 cup (100 g),323 cal,Gạo đen
BLT,1 item (240 g),593 cal,BLT
Brown Rice,1 cup (185 g),670 cal,Gạo lứt
Burrito,1 burrito (200 g),326 cal,bánh burrito
Butter Chicken,1 tray (350 g),490 cal,gà bơ
California Roll,1 roll (35 g),33 cal,Cuộn California
Chicken Caesar Salad,1 salad (309 g),392 cal,Salad gà Caesar
Chicken Fried Steak,1 steak (280 g),423 cal,Thịt gà rán bít tết
Chicken Marsala,1 serving (2301 g),2209 cal,gà marsala
Chicken Parmesan,1 piece (227 g),250 cal,Gà Parmesan
Chicken Pot Pie,1 pie (302 g),673 cal,Bánh nồi gà
Chicken Tikka Masala,1 serving (241 g),195 cal,Gà Tikka Masala
Chili con Carne,1 cup (253 g),266 cal,Ớt con Carne
Chimichanga,1 item (180 g),418 cal,Chimichanga
Cobb Salad,1 serving (536 g),632 cal,Salad Cobb
Collard Greens,1 cup (45 g),13 cal,cải xanh
Corn Dog,1 item (175 g),438 cal,Chó ngô
Corned Beef Hash,1 can (213 g),349 cal,Băm bò bắp
Cottage Pie,1 pie (376 g),523 cal,Bánh tiểu
Dal,1/2 cup (92 g),304 cal,Dal
Deviled Eggs,1/2 egg (31 g),62 cal,Trứng quỷ
Dim Sum,1 piece (19 g),37 cal,Dim Sum
Dosa,1 serving (435 g),287 cal,dosa
Enchiladas,1 enchilada (192 g),323 cal,Enchiladas
Fajita,1 serving (248 g),290 cal,Fajita
Fish and Chips,1 serving (300 g),585 cal,Cá và khoai tây chiên
Fried Rice,1 serving (356 g),662 cal,cơm chiên
Fried Shrimp,1 shrimp (27 g),75 cal,Tôm chiên
Grilled Cheese Sandwich,1 sandwich (136 g),392 cal,Sandwich phô mai nướng
Ham and Cheese Sandwich,1 sandwich (146 g),352 cal,Sandwich giăm bông và phô mai
Hummus,1 cup (246 g),435 cal,hummus
Jambalaya,1 cup (250 g),250 cal,Jambalaya
Kebab,1 kebab (360 g),774 cal,Kebab
Lasagne,1 serving (215 g),284 cal,Lasagne
Mac and Cheese,1 serving (189 g),699 cal,Mac và phô mai
